club_id,club_code,name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,last_season,url
317,fc-twente-enschede,Twente Enschede FC,NL1,,26,24.4,10,38.5,3,De Grolsch Veste,30205,+€7.10m,,2023,https://www.transfermarkt.co.uk/fc-twente-enschede/startseite/verein/317
3524,clermont-foot-63,Clermont Foot 63,FR1,,24,26.9,15,62.5,6,Stade Gabriel-Montpied,13000,€-2.10m,,2023,https://www.transfermarkt.co.uk/clermont-foot-63/startseite/verein/3524
398,lazio-rom,SS Lazio,IT1,,29,27.3,17,58.6,10,Olimpico di Roma,73261,+€10.54m,,2023,https://www.transfermarkt.co.uk/lazio-rom/startseite/verein/398
4171,benevento-calcio,Benevento Calcio,IT1,,31,26.7,16,51.6,2,Ciro Vigorito,16867,€-1.93m,,2020,https://www.transfermarkt.co.uk/benevento-calcio/startseite/verein/4171
418,real-madrid,Real Madrid,ES1,,23,27.7,15,65.2,19,Santiago Bernabéu,81044,€-122.50m,,2023,https://www.transfermarkt.co.uk/real-madrid/startseite/verein/418
6574,us-sassuolo,US Sassuolo,IT1,,27,26.5,16,59.3,10,Mapei Stadium - Città del Tricolore,21584,+€40.52m,,2023,https://www.transfermarkt.co.uk/us-sassuolo/startseite/verein/6574
7179,cd-tondela,CD Tondela,PO1,,26,22.8,12,46.2,2,Estádio João Cardoso,5000,+€50k,,2021,https://www.transfermarkt.co.uk/cd-tondela/startseite/verein/7179
720,fc-porto,FC Porto,PO1,,28,26.5,18,64.3,8,Estádio do Dragão,50033,+€34.10m,,2023,https://www.transfermarkt.co.uk/fc-porto/startseite/verein/720
738,ac-le-havre,Le Havre AC,FR1,,29,25.1,16,55.2,6,Stade Océane,25178,€-2.90m,,2023,https://www.transfermarkt.co.uk/ac-le-havre/startseite/verein/738
89,1-fc-union-berlin,1.FC Union Berlin,L1,,28,27.4,16,57.1,12,Stadion An der Alten Försterei,22012,€-29.90m,,2023,https://www.transfermarkt.co.uk/1-fc-union-berlin/startseite/verein/89
940,celta-vigo,Celta de Vigo,ES1,,24,26.7,11,45.8,8,Abanca Balaídos,29000,+€29.50m,,2023,https://www.transfermarkt.co.uk/celta-vigo/startseite/verein/940
1387,acn-siena-1904,Siena FC,IT1,,20,25.5,2,10.0,0,Artemio Franchi,15373,+-0,,2012,https://www.transfermarkt.co.uk/acn-siena-1904/startseite/verein/1387
1390,cagliari-calcio,Cagliari Calcio,IT1,,30,27.4,14,46.7,9,Unipol Domus,16416,€-8.60m,,2023,https://www.transfermarkt.co.uk/cagliari-calcio/startseite/verein/1390
1416,amiens-sc,Amiens SC,FR1,,24,24.1,10,41.7,7,Stade Crédit Agricole la Licorne,12999,+€700k,,2019,https://www.transfermarkt.co.uk/amiens-sc/startseite/verein/1416
167,fc-augsburg,FC Augsburg,L1,,32,25.2,20,62.5,6,WWK ARENA,30660,+€17.45m,,2023,https://www.transfermarkt.co.uk/fc-augsburg/startseite/verein/167
2420,vitoria-guimaraes-sc,Vitória Guimarães SC,PO1,,30,25.3,13,43.3,3,Estádio D. Afonso Henriques,30029,+€16.26m,,2023,https://www.transfermarkt.co.uk/vitoria-guimaraes-sc/startseite/verein/2420
2424,gil-vicente-fc,Gil Vicente FC,PO1,,28,24.8,17,60.7,3,Estádio Cidade de Barcelos,12046,+€7.90m,,2023,https://www.transfermarkt.co.uk/gil-vicente-fc/startseite/verein/2424
289,afc-sunderland,Sunderland AFC,GB1,,26,23.5,12,46.2,6,Stadium of Light,48707,€-6.06m,,2016,https://www.transfermarkt.co.uk/afc-sunderland/startseite/verein/289
2921,delfino-pescara-1936,Delfino Pescara 1936,IT1,,28,24.6,6,21.4,1,Adriatico,20476,+€4.60m,,2016,https://www.transfermarkt.co.uk/delfino-pescara-1936/startseite/verein/2921
3,1-fc-koln,1.FC Köln,L1,,31,25.6,8,25.8,6,RheinEnergieSTADION,50000,+€200k,,2023,https://www.transfermarkt.co.uk/1-fc-koln/startseite/verein/3
430,ac-florenz,ACF Fiorentina,IT1,,31,25.1,16,51.6,13,Artemio Franchi,43147,+€21.25m,,2023,https://www.transfermarkt.co.uk/ac-florenz/startseite/verein/430
5,ac-mailand,AC Milan,IT1,,28,26.4,21,75.0,15,Giuseppe Meazza,75923,€-47.40m,,2023,https://www.transfermarkt.co.uk/ac-mailand/startseite/verein/5
512,stoke-city,Stoke City,GB1,,24,26.7,9,37.5,6,bet365 Stadium,30089,+€17.00m,,2017,https://www.transfermarkt.co.uk/stoke-city/startseite/verein/512
826,rc-lens,RC Lens,FR1,,29,26.1,15,51.7,12,Stade Bollaert-Delelis,38223,+€3.64m,,2023,https://www.transfermarkt.co.uk/rc-lens/startseite/verein/826
897,deportivo-la-coruna,Deportivo de La Coruña,ES1,,24,27.7,3,12.5,0,Abanca Riazor,32912,€-435k,,2017,https://www.transfermarkt.co.uk/deportivo-la-coruna/startseite/verein/897
1085,vitoria-setubal-fc,Vitória Setúbal FC,PO1,,29,26.0,10,34.5,0,Estádio do Bonfim,18642,+-0,,2019,https://www.transfermarkt.co.uk/vitoria-setubal-fc/startseite/verein/1085
11,fc-arsenal,Arsenal FC,GB1,,25,25.7,18,72.0,21,Emirates Stadium,60704,€-167.04m,,2023,https://www.transfermarkt.co.uk/fc-arsenal/startseite/verein/11
1627,catania-calcio,Catania FC,IT1,,27,26.0,5,18.5,0,Cibali - Angelo Massimino,20204,€-101k,,2013,https://www.transfermarkt.co.uk/catania-calcio/startseite/verein/1627
16795,fc-granada,Granada CF,ES1,,24,28.3,7,29.2,4,Nuevo Los Cármenes,19336,€-6.50m,,2023,https://www.transfermarkt.co.uk/fc-granada/startseite/verein/16795
2239,us-cremonese,US Cremonese,IT1,,29,25.4,9,30.0,2,Giovanni Zini,16003,+€5.00m,,2022,https://www.transfermarkt.co.uk/us-cremonese/startseite/verein/2239
252,genua-cfc,Genoa CFC,IT1,,27,26.9,20,74.1,9,Luigi Ferraris,34901,€-17.38m,,2023,https://www.transfermarkt.co.uk/genua-cfc/startseite/verein/252
281,manchester-city,Manchester City,GB1,,24,27.1,17,70.8,20,Etihad Stadium,55017,€-126.60m,,2023,https://www.transfermarkt.co.uk/manchester-city/startseite/verein/281
3302,ud-almeria,UD Almería,ES1,,25,25.6,13,52.0,5,Power Horse Stadium,18331,€-8.90m,,2023,https://www.transfermarkt.co.uk/ud-almeria/startseite/verein/3302
39,1-fsv-mainz-05,1.FSV Mainz 05,L1,,25,26.9,12,48.0,6,Mewa Arena,33305,+€14.55m,,2023,https://www.transfermarkt.co.uk/1-fsv-mainz-05/startseite/verein/39
405,aston-villa,Aston Villa,GB1,,26,27.2,19,73.1,16,Villa Park,42682,€-60.45m,,2023,https://www.transfermarkt.co.uk/aston-villa/startseite/verein/405
543,wolverhampton-wanderers,Wolverhampton Wanderers,GB1,,26,26.1,22,84.6,14,Molineux Stadium,32050,+€75.20m,,2023,https://www.transfermarkt.co.uk/wolverhampton-wanderers/startseite/verein/543
60,sc-freiburg,SC Freiburg,L1,,27,26.5,9,33.3,9,Europa-Park Stadion,34700,+€35.30m,,2023,https://www.transfermarkt.co.uk/sc-freiburg/startseite/verein/60
6912,fc-vizela,FC Vizela,PO1,,26,25.3,19,73.1,3,Estádio do Vizela,6565,+€1.80m,,2023,https://www.transfermarkt.co.uk/fc-vizela/startseite/verein/6912
714,espanyol-barcelona,RCD Espanyol Barcelona,ES1,,26,25.4,6,23.1,4,RCDE Stadium,40500,+€5.50m,,2022,https://www.transfermarkt.co.uk/espanyol-barcelona/startseite/verein/714
798,sbv-excelsior-rotterdam,Excelsior Rotterdam,NL1,,29,23.6,12,41.4,1,Van Donge & De Roo Stadion - Woudestein,4400,+€173k,,2023,https://www.transfermarkt.co.uk/sbv-excelsior-rotterdam/startseite/verein/798
862,chievo-verona,Chievo Verona,IT1,,0,,0,,0,Marcantonio Bentegodi,31045,+-0,,2018,https://www.transfermarkt.co.uk/chievo-verona/startseite/verein/862
8970,frosinone-calcio,Frosinone Calcio,IT1,,30,25.3,17,56.7,3,Benito Stirpe,16227,+€8.85m,,2023,https://www.transfermarkt.co.uk/frosinone-calcio/startseite/verein/8970
12321,fc-girona,Girona FC,ES1,,25,27.1,11,44.0,6,Montilivi,13286,€-4.35m,,2023,https://www.transfermarkt.co.uk/fc-girona/startseite/verein/12321
127,sc-paderborn-07,SC Paderborn 07,L1,,26,25.7,5,19.2,1,Home Deluxe Arena,15000,€-450k,,2019,https://www.transfermarkt.co.uk/sc-paderborn-07/startseite/verein/127
19,brescia-calcio,Brescia Calcio,IT1,,28,25.1,12,42.9,1,Mario Rigamonti,19550,+€3.65m,,2019,https://www.transfermarkt.co.uk/brescia-calcio/startseite/verein/19
23,eintracht-braunschweig,Eintracht Braunschweig,L1,,30,25.6,11,36.7,2,EINTRACHT-Stadion,23325,+€750k,,2013,https://www.transfermarkt.co.uk/eintracht-braunschweig/startseite/verein/23
33,fc-schalke-04,FC Schalke 04,L1,,27,26.4,12,44.4,4,Veltins-Arena,62271,+€10.30m,,2022,https://www.transfermarkt.co.uk/fc-schalke-04/startseite/verein/33
350,sheffield-united,Sheffield United,GB1,,30,25.9,18,60.0,8,Bramall Lane,32702,€-33.55m,,2023,https://www.transfermarkt.co.uk/sheffield-united/startseite/verein/350
472,ud-las-palmas,UD Las Palmas,ES1,,26,27.1,8,30.8,3,Estadio de Gran Canaria,32400,€-4.80m,,2023,https://www.transfermarkt.co.uk/ud-las-palmas/startseite/verein/472
7378,portimonense-sc,Portimonense SC,PO1,,27,24.7,20,74.1,2,Portimonense Estádio,6000,+€3.45m,,2023,https://www.transfermarkt.co.uk/portimonense-sc/startseite/verein/7378
982,cd-nacional,CD Nacional,PO1,,27,25.0,12,44.4,2,Estádio da Madeira,5586,+-0,,2020,https://www.transfermarkt.co.uk/cd-nacional/startseite/verein/982
1005,us-lecce,US Lecce,IT1,,31,24.0,23,74.2,7,Ettore Giardiniero,31559,+€3.95m,,2023,https://www.transfermarkt.co.uk/us-lecce/startseite/verein/1005
1038,sampdoria-genua,UC Sampdoria,IT1,,33,24.3,5,15.6,4,Luigi Ferraris,36348,+€1.75m,,2022,https://www.transfermarkt.co.uk/sampdoria-genua/startseite/verein/1038
1210,as-livorno,US Livorno 1915,IT1,,29,24.1,5,17.2,0,Armando Picchi,19238,+-0,,2013,https://www.transfermarkt.co.uk/as-livorno/startseite/verein/1210
1426,vvv-venlo,VVV-Venlo,NL1,,28,22.9,7,25.0,0,Covebo Stadion - De Koel,8000,+-0,,2020,https://www.transfermarkt.co.uk/vvv-venlo/startseite/verein/1426
1533,sd-eibar,SD Eibar,ES1,,26,28.3,5,19.2,0,Ipurua,8164,+€2.60m,,2020,https://www.transfermarkt.co.uk/sd-eibar/startseite/verein/1533
180,fc-southampton,Southampton FC,GB1,,29,24.5,20,69.0,13,St Mary's Stadium,32384,+€2.40m,,2022,https://www.transfermarkt.co.uk/fc-southampton/startseite/verein/180
234,feyenoord-rotterdam,Feyenoord Rotterdam,NL1,,27,24.2,14,51.9,16,"Stadion Feyenoord ""De Kuip""",47500,€-500k,,2023,https://www.transfermarkt.co.uk/feyenoord-rotterdam/startseite/verein/234
2448,sporting-gijon,Sporting Gijón,ES1,,28,26.2,10,35.7,2,El Molinón - Enrique Castro Quini,29029,+€5.23m,,2016,https://www.transfermarkt.co.uk/sporting-gijon/startseite/verein/2448
3349,cd-feirense,CD Feirense,PO1,,24,25.0,11,45.8,2,Estádio Marcolino de Castro,5401,+€325k,,2018,https://www.transfermarkt.co.uk/cd-feirense/startseite/verein/3349
368,fc-sevilla,Sevilla FC,ES1,,27,28.9,18,66.7,8,Ramón Sánchez-Pizjuán,43883,€-5.50m,,2023,https://www.transfermarkt.co.uk/fc-sevilla/startseite/verein/368
38,fortuna-dusseldorf,Fortuna Düsseldorf,L1,,29,25.9,12,41.4,2,MERKUR SPIEL-ARENA,54600,+€600k,,2019,https://www.transfermarkt.co.uk/fortuna-dusseldorf/startseite/verein/38
415,fc-toulouse,FC Toulouse,FR1,,29,23.5,23,79.3,8,Stadium Municipal,33150,+€200k,,2023,https://www.transfermarkt.co.uk/fc-toulouse/startseite/verein/415
416,fc-turin,Torino FC,IT1,,26,25.3,21,80.8,14,Stadio Olimpico Grande Torino,28177,€-33.40m,,2023,https://www.transfermarkt.co.uk/fc-turin/startseite/verein/416
417,ogc-nizza,OGC Nice,FR1,,29,24.3,15,51.7,12,Allianz Riviera,36178,€-27.10m,,2023,https://www.transfermarkt.co.uk/ogc-nizza/startseite/verein/417
44,hertha-bsc,Hertha BSC,L1,,36,24.1,14,38.9,7,Olympiastadion Berlin,74667,+€6.70m,,2022,https://www.transfermarkt.co.uk/hertha-bsc/startseite/verein/44
467,nec-nijmegen,NEC Nijmegen,NL1,,28,24.3,11,39.3,1,Goffertstadion,12500,+€2.68m,,2023,https://www.transfermarkt.co.uk/nec-nijmegen/startseite/verein/467
631,fc-chelsea,Chelsea FC,GB1,,30,23.8,20,66.7,20,Stamford Bridge,40853,€-198.40m,,2023,https://www.transfermarkt.co.uk/fc-chelsea/startseite/verein/631
749,fc-empoli,FC Empoli,IT1,,29,25.9,12,41.4,8,Carlo Castellani,19847,+€40.80m,,2023,https://www.transfermarkt.co.uk/fc-empoli/startseite/verein/749
10,arminia-bielefeld,Arminia Bielefeld,L1,,27,25.3,15,55.6,4,SchücoArena,26515,+€5.90m,,2021,https://www.transfermarkt.co.uk/arminia-bielefeld/startseite/verein/10
1049,fc-valencia,Valencia CF,ES1,,23,25.0,9,39.1,7,Mestalla,49430,+€14.00m,,2023,https://www.transfermarkt.co.uk/fc-valencia/startseite/verein/1049
1075,sc-braga,SC Braga,PO1,,26,27.8,15,57.7,7,Estádio Municipal de Braga,30286,€-6.70m,,2023,https://www.transfermarkt.co.uk/sc-braga/startseite/verein/1075
1269,pec-zwolle,PEC Zwolle,NL1,,26,25.5,11,42.3,0,MAC³PARK stadion,14000,+€4.75m,,2023,https://www.transfermarkt.co.uk/pec-zwolle/startseite/verein/1269
132,nac-breda,NAC Breda,NL1,,32,23.7,10,31.3,2,Rat Verlegh Stadion,19000,+€115k,,2018,https://www.transfermarkt.co.uk/nac-breda/startseite/verein/132
27,fc-bayern-munchen,Bayern Munich,L1,,25,26.7,13,52.0,18,Allianz Arena,75024,+€23.25m,,2023,https://www.transfermarkt.co.uk/fc-bayern-munchen/startseite/verein/27
29,fc-everton,Everton FC,GB1,,25,27.3,11,44.0,6,Goodison Park,39571,+€42.30m,,2023,https://www.transfermarkt.co.uk/fc-everton/startseite/verein/29
290,aj-auxerre,AJ Auxerre,FR1,,26,24.3,15,55.6,6,Stade de l'Abbé-Deschamps,18541,+-0,,2022,https://www.transfermarkt.co.uk/aj-auxerre/startseite/verein/290
306,sc-heerenveen,SC Heerenveen,NL1,,23,24.6,11,47.8,4,Abe Lenstra Stadion,27224,+€3.10m,,2023,https://www.transfermarkt.co.uk/sc-heerenveen/startseite/verein/306
3268,casa-pia-ac,Casa Pia AC,PO1,,27,25.9,15,55.6,5,Estádio Municipal de Rio Maior,6925,+€2.28m,,2023,https://www.transfermarkt.co.uk/casa-pia-ac/startseite/verein/3268
347,fc-metz,FC Metz,FR1,,30,25.3,22,73.3,10,Stade Saint-Symphorien,28786,+€23.10m,,2023,https://www.transfermarkt.co.uk/fc-metz/startseite/verein/347
399,leeds-united,Leeds United,GB1,,27,24.6,18,66.7,9,Elland Road,37890,+€930k,,2022,https://www.transfermarkt.co.uk/leeds-united/startseite/verein/399
4083,fc-crotone,FC Crotone,IT1,,25,27.0,6,24.0,1,Ezio Scida,16640,+€3.90m,,2020,https://www.transfermarkt.co.uk/fc-crotone/startseite/verein/4083
533,tsg-1899-hoffenheim,TSG 1899 Hoffenheim,L1,,30,26.1,13,43.3,12,PreZero Arena,30150,€-7.30m,,2023,https://www.transfermarkt.co.uk/tsg-1899-hoffenheim/startseite/verein/533
607,venezia-fc,Venezia FC,IT1,,27,25.6,17,63.0,5,Pier Luigi Penzo,11150,+€4.83m,,2021,https://www.transfermarkt.co.uk/venezia-fc/startseite/verein/607
68608,cf-os-belenenses,CF Os Belenenses,PO1,,30,25.7,5,16.7,0,Estádio do Restelo,19980,+-0,,2017,https://www.transfermarkt.co.uk/cf-os-belenenses/startseite/verein/68608
724,fc-volendam,FC Volendam,NL1,,29,22.8,14,48.3,3,Kras Stadion,7384,+€1.80m,,2023,https://www.transfermarkt.co.uk/fc-volendam/startseite/verein/724
800,atalanta-bergamo,Atalanta BC,IT1,,25,27.1,17,68.0,15,Gewiss Stadium,21747,+€87.00m,,2023,https://www.transfermarkt.co.uk/atalanta-bergamo/startseite/verein/800
979,moreirense-fc,Moreirense FC,PO1,,26,26.0,17,65.4,2,Estádio C. J. de Almeida Freitas,6153,€-2.05m,,2023,https://www.transfermarkt.co.uk/moreirense-fc/startseite/verein/979
984,west-bromwich-albion,West Bromwich Albion,GB1,,25,27.8,8,32.0,4,The Hawthorns,26850,€-1.35m,,2020,https://www.transfermarkt.co.uk/west-bromwich-albion/startseite/verein/984
